 TTP Training,,,,,,,,,,,
On a scale of 1 to 5:,,,,,,,,,,,
5 Very useful,,,,,,,,,,,
4 Useful,,,,,,,,,,,
3 Somewhat useful,,,,,,,,,,,
2 Probably not useful,,,,,,,,,,,
1 Definitely a waste of time,1 – 5,,,,,,,,,,
** HTML,,,,,,,,,,,
Do you  feel that learning the Box Model of HTML was:,,,,,,4,,,,,
,,,,,,,,,,,
** CSS,,,,,,,,,,,
Do you feel that learning css was:,,,,,,4,,,,,
Do you feel that learning how to modify margins and padding was useful,,,,,,,4,,,,
,,,,,,,,,,,
** Terminal,,,,,,,5,,,,
I feel that learning the terminal commands,,,,,,,,,,,
,,,,,,,,,,,
** Git and Collaboration,,,,,,,,,,,
Do you feel that learning how to clone a repository was useful,,,,,,,5,,,,
Do you feel that learning how to branch your repository was useful,,,,,,,5,,,,
Do you feel that learning how to send a pull request was useful,,,,,,,5,,,,
,,,,,,,,,,,
** Food,,,,,,,,,,,
"Do you feel that adequate food was provided: (1 lowest, 5 highest)",,,,,,,,,,,
    Quality,,,,,,,5,,,,
    Amount,,,,,,,5,,,,
    Variety,,,,,,,5,,,,
    Comments,,,,,,,,,,,
    ,,,,,,,,,,,
** Space,,,,,,,,,,,
Was the room adequate for the materials:,,,,,,,5,,,,
Was the temprature comfortable,,,,,,,5,,,,
Were the chairs comfortable,,,,,,,5,,,,
Did you have adequate power,,,,,,,5,,,,
Would tables have been useful?,,,,,,,5,,,,
Were you able to see the projector?,,,,,,,5,,,,
Was the wifi connection reliable?,,,,,,,5,,,,
Would you have preferred a wired connection?,,,,,,,5,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Laptops,,,,,,,,,,,
Was it a burden for you to bring your laptop?,,,,,,,1,,,,
Would you have preferred to use QC computers?,xxxxxxxxx,,,,,,1,,,,
,,,,,,,,,,,
,,,,,,,,,,,
** Instructor,,,,,,,,,,,
Did the instructor have a good command of the material?,,,,,,,5,,,,
Was the instructor helpful?,,,,,,,5,,,,
Did the instructor care about your success?,,,,,,,5,,,,
Did the instructor maintain good pacing?,,,,,,,5,,,,
,,,,,,,,,,,
**Classroom Technology,,,,,,,,,,,
Was canvas helpful for you?,,,,,,,5,,,,
Did you find the etherpad helpful?,,,,,,,5,,,,
Did you resent about being asked to join:,,,,,,,5,,,,
    ,,,,,,,,,,,
    A facebook group,,,,,,,5,,,,
    A Google+ group,,,,,,,5,,,,
    A LinkedIn group,,,,,,,5,,,,
    ,,,,,,,,,,,
** TA,,,,,,,,,,,
,,,,,,,,,,,
Did the TA have a good command of the material?,,,,,,,5,,,,
Was the TA helpful?,,,,,,,5,,,,
Did the TA care about your success?,,,,,,,5,,,,
Did you find the resources helpful?,,,,,,,5,,,,
,,,,,,,,,,,
** Forms,,,,,,,,,,,
Do you understand why you had to fill out a Customer Information Form (Workforce 1 form about demographics employment status and work history)?,,,,,,,,,,,5
Do you understand why you had to sign the Individual Photo Release Form?,,,,,,,,,,,5
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,,,,,,,,,,,5
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,,,,,,,,,,,5
Do you understand why you had to sign the Individual Photo Release Form?,,,,,,,,,,,5
,,,,,,,,,,,
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,,,,,,,,,,,5
,,,,,,,,,,,
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,,,,,,,,,,,5
,,,,,,,,,,,
5 Most complaints.....1 no bother at all,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,
Do you have any complaints about the process of filling out these forms? ,,,,,,,,,,,1
Do you have any complaints bout how long it took?,,,,,,,,,,,1
Do you have any complaints about how organized it was?,,,,,,,,,,,1
Do you resent signing any of this forms?,,,,,,,,,,,1
,,,,,,,,,,,
Do you understand why we have a code of conduct?,,,,,,,,,,,5
Do you understand why you can only work between 15 and 19 hours?,,,,,,,,,,,5
Do you understand that you cannot work more than 7 hours in a day? (PENDING),,,,,,,,,,,5
,,,,,,,,,,,
Do you understand that you can only work during the week and only with a supervisor present?,,,,,,,,,,,5
Do you understand that you cannot work on weekends?,,,,,,,,,,,5
Do you understand that you cannot work from home or any remote location?,,,,,,,,,,,5
Do you understand that you can be terminated for reasons such as excessive lateness poor attendance and lack of professionalism?,,,,,,,,,,,5
Do you understand that you must set a schedule and set goals with your supervisor for the length of the program?,,,,,,,,,,,5
,,,,,,,,,,,
,,,,,,,,,,,
** Tech stack –-----5 – understand/agree    …. 1 – total mystery/outdated,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,
Do you know the tech stack of your host company?,,,,,,,,,,,3
Do you feel that the tech stack of your host company is up to date?,,,,,,,,,,,1
Do you know your supervisors name and contact information?,,,,,,,,,,,5
,,,,,,,,,,,
** Placement  ----5 totally psyched....1 nervous/unsure,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,
Do you have any concerns about your placement?,,,,,,,,,,,5
Do you know who your supervisor is?,,,,,,,,,,,5
,,,,,,,,,,,
** Concerns,,,,,,,,,,,
,,,,,,,,,,,
** Omitted Questions,,,,,,,,,,,
Please let us know any other questions we should be asking,,,,,,,,,,,
,,,,,,,,,,,
* Queens CS Experience --- 5 great … 1 poor,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,
** Did you transfer? 1-Yes 2- No,,,,,,,,,,,2
** Did you feel that you learned Java well?,,,,,,,,,,,1
** Did you feel that you learned C++ well?,,,,,,,,,,,1
** Did you feel that you know enough other languages?,,,,,,,,,,,1
** Did you enjoy your time at Queens in CS?,,,,,,,,,,,
** Would you be interested in furthering your education in a formal CS MA/Phd program?,,,,,,,,,,,2
** Did you work on any original research projects as a student at QC?,,,,,,,,,,,
** What was your favorite thing about your classes at QC?,,,,,,,,,,,
** What did you feel helped you grow the most intellectually?,,,,,,,,,,,
** Did you feel the professors in CS treated you fairly?,,,,,,,,,,,
** Do you think the full-time professors taught you more than the adjuncts?,,,,,,,,,,,
** Do you think the professors full time or adjunct were interested in your success?,,,,,,,,,,,
** How easy was it to get access to tutoring/extra help at QC for CS?,,,,,,,,,,,
** Was the tutoring useful provided by QC useful?,,,,,,,,,,,
** Did you feel that the tutors were interested in your success?,,,,,,,,,,,
** What did you enjoy most about QC CS?,,,,,,,,,,,
** What questions should have I asked but did not?,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
I feel that freshman would benefit from including this in the CS curriculum – 5 Highly useful … 1 totally useless,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,
HTML,,,,,,,,,,,5
CSS,,,,,,,,,,,5
Terminal,,,,,,,,,,,5
Git,,,,,,,,,,,5
Collaborative Software Development,,,,,,,,,,,5
Javascript,,,,,,,,,,,5
Open Source Projects,,,,,,,,,,,5
